Date,ozone,AOD,year,month,day
150923,265.022,0.255,2015,9,23
150924,264.389,0.179,2015,9,24
150925,271.851,0.273,2015,9,25
150926,282.4,0.273,2015,9,26
150927,271.851,0.273,2015,9,27
150928,277.567,0.273,2015,9,28
150929,271.851,0.273,2015,9,29
150930,271.851,0.273,2015,9,30
151001,267.478,0.217,2015,10,1
151002,260.394,0.162,2015,10,2
151003,266.733,0.149,2015,10,3
151004,260.394,0.162,2015,10,4
151005,262.433,0.162,2015,10,5
151006,260.394,0.162,2015,10,6
151007,249.433,0.162,2015,10,7
151008,267.933,0.162,2015,10,8
151009,260.394,0.162,2015,10,9
151010,271.689,0.228,2015,10,10
151011,260.394,0.162,2015,10,11
151012,271.956,0.108,2015,10,12
151013,260.394,0.162,2015,10,13
151014,266.167,0.138,2015,10,14
151015,262.4,0.229,2015,10,15
151016,260.394,0.162,2015,10,16
151017,267.9,0.162,2015,10,17
151018,260.394,0.162,2015,10,18
151019,245.689,0.091,2015,10,19
151020,260.394,0.162,2015,10,20
151021,260.0,0.09,2015,10,21
151022,260.394,0.344,2015,10,22
151023,251.378,0.162,2015,10,23
151024,242.267,0.162,2015,10,24
151025,260.394,0.166,2015,10,25
151026,258.044,0.073,2015,10,26
151027,260.394,0.162,2015,10,27
151028,252.767,0.117,2015,10,28
151029,260.394,0.162,2015,10,29
151030,262.433,0.162,2015,10,30
151031,260.394,0.162,2015,10,31
151101,248.808,0.163,2015,11,1
151102,256.978,0.09,2015,11,2
151103,248.808,0.142,2015,11,3
151104,251.211,0.142,2015,11,4
151105,248.808,0.142,2015,11,5
151106,249.9,0.142,2015,11,6
151107,248.808,0.142,2015,11,7
151108,253.956,0.142,2015,11,8
151109,247.322,0.135,2015,11,9
151110,248.808,0.149,2015,11,10
151111,250.133,0.063,2015,11,11
151112,248.808,0.142,2015,11,12
151113,247.156,0.142,2015,11,13
151114,248.808,0.142,2015,11,14
151115,239.933,0.142,2015,11,15
151116,240.511,0.208,2015,11,16
151117,248.808,0.266,2015,11,17
151118,248.711,0.093,2015,11,18
151119,248.808,0.142,2015,11,19
151120,225.922,0.108,2015,11,20
151121,248.808,0.142,2015,11,21
151122,261.067,0.054,2015,11,22
151123,248.808,0.202,2015,11,23
151124,260.422,0.203,2015,11,24
151125,255.778,0.176,2015,11,25
151126,248.808,0.146,2015,11,26
151127,253.256,0.142,2015,11,27
151128,248.808,0.142,2015,11,28
151129,238.667,0.073,2015,11,29
151130,248.808,0.142,2015,11,30
151201,250.067,0.129,2015,12,1
151202,252.477,0.109,2015,12,2
151203,252.477,0.074,2015,12,3
151204,267.411,0.064,2015,12,4
151205,252.477,0.109,2015,12,5
151206,239.744,0.082,2015,12,6
151207,252.477,0.109,2015,12,7
151208,258.7,0.064,2015,12,8
151209,252.477,0.183,2015,12,9
151210,252.222,0.081,2015,12,10
151211,251.1,0.21,2015,12,11
151212,252.477,0.109,2015,12,12
151213,250.967,0.049,2015,12,13
151214,252.477,0.109,2015,12,14
151215,235.622,0.034,2015,12,15
151216,252.477,0.071,2015,12,16
151217,241.333,0.184,2015,12,17
151218,250.056,0.189,2015,12,18
151219,252.477,0.075,2015,12,19
151220,243.044,0.109,2015,12,20
151221,252.477,0.109,2015,12,21
151222,272.289,0.089,2015,12,22
151223,252.477,0.109,2015,12,23
151224,254.1,0.036,2015,12,24
151225,252.477,0.225,2015,12,25
151226,266.544,0.109,2015,12,26
151227,257.011,0.172,2015,12,27
151228,252.477,0.123,2015,12,28
151229,256.711,0.053,2015,12,29
151230,252.477,0.109,2015,12,30
151231,245.189,0.109,2015,12,31
160101,266.26,0.107,2016,1,1
160102,256.767,0.107,2016,1,2
160103,266.26,0.107,2016,1,3
160104,266.26,0.107,2016,1,4
160105,270.489,0.048,2016,1,5
160106,266.26,0.107,2016,1,6
160107,240.778,0.036,2016,1,7
160108,266.26,0.107,2016,1,8
160109,237.833,0.097,2016,1,9
160110,266.26,0.231,2016,1,10
160111,259.233,0.155,2016,1,11
160112,263.678,0.109,2016,1,12
160113,266.26,0.107,2016,1,13
160114,268.4,0.088,2016,1,14
160115,266.26,0.107,2016,1,15
160116,285.522,0.016,2016,1,16
